cat,pid,tid,dur,ts,ph,name,args_op_name,op_name,args_thread_scheduling_stats,args_input_type_shape,args_parameter_size,args_activation_size,args_node_index,args_output_size,args_provider,args_output_type_shape
Node,715047,715047,0,4547,X,ReduceSum_14_fence_after,ReduceSum,ReduceSum_14,,,,,,,,
Node,715047,715047,0,4551,X,Slice_3_fence_before,Slice,Slice_3,,,,,,,,
Node,715047,715047,21,4552,X,Slice_3_kernel_time,Slice,Slice_3,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,3,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,4578,X,Slice_3_fence_after,Slice,Slice_3,,,,,,,,
Node,715047,715047,0,4581,X,Squeeze_4_fence_before,Squeeze,Squeeze_4,,,,,,,,
Node,715047,715047,15,4582,X,Squeeze_4_kernel_time,Squeeze,Squeeze_4,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 1]}, {'int64': [1]}]",8,8,4,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,4601,X,Squeeze_4_fence_after,Squeeze,Squeeze_4,,,,,,,,
Node,715047,715047,0,4604,X,Slice_1_fence_before,Slice,Slice_1,,,,,,,,
Node,715047,715047,14,4605,X,Slice_1_kernel_time,Slice,Slice_1,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,1,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,4627,X,Slice_1_fence_after,Slice,Slice_1,,,,,,,,
